filename,HOMO_LUMO_gap,sampling method in explicit TIP3P,XTB_opt_Energy (+ ALPB) / kcal/mol
MACEsmall_0471_opt.json,2.3902996,MACEsmall 0.1 ns (ML/MM),-138886.47699775957
MACEsmall_0479_opt.json,2.368918,MACEsmall 0.1 ns (ML/MM),-138886.4768095069
MACEsmall_0414_opt.json,2.39064825,MACEsmall 0.1 ns (ML/MM),-138886.47637025057
MACEsmall_1314_opt.json,2.29276118,MACEsmall 0.1 ns (ML/MM),-138886.47544153727
MACEsmall_0617_opt.json,2.35641269,MACEsmall 0.1 ns (ML/MM),-138886.47544153727
ANI2x_L_3727_opt.json,2.40836611,ANI2x 0.2 ns (ML/MM),-138886.47529721019
MACEsmall_1069_opt.json,2.40540338,MACEsmall 0.1 ns (ML/MM),-138886.47500228096
REST600d_0825_opt.json,2.56557503,SAGE 10 ns (16 REST up to 600K),-138886.47308210342
MACEsmall_1016_opt.json,2.36682721,MACEsmall 0.1 ns (ML/MM),-138886.4730381778
MACEsmall_0684_opt.json,2.37935736,MACEsmall 0.1 ns (ML/MM),-138886.47293777636
MACEsmall_0416_opt.json,2.39301353,MACEsmall 0.1 ns (ML/MM),-138886.4729064009
MACEsmall_0417_opt.json,2.40700739,MACEsmall 0.1 ns (ML/MM),-138886.47274324857
MACEsmall_1468_opt.json,2.34684097,MACEsmall 0.1 ns (ML/MM),-138886.47192121178
MACEsmall_0835_opt.json,2.43592611,MACEsmall 0.1 ns (ML/MM),-138886.4712246768
REMD_0272_opt.json,2.60410405,SAGE 10 ns (16 REMD up to 475K),-138886.47040264
MACEsmall_0628_opt.json,2.35421687,MACEsmall 0.1 ns (ML/MM),-138886.4699696588
MACEsmall_1301_opt.json,2.34536999,MACEsmall 0.1 ns (ML/MM),-138886.46803065596
REST600d_0197_opt.json,2.58201803,SAGE 10 ns (16 REST up to 600K),-138886.46771690148
MACEsmall_0234_opt.json,2.46985647,MACEsmall 0.1 ns (ML/MM),-138886.46704546685
ANI2x_L_0759_opt.json,2.24822739,ANI2x 0.2 ns (ML/MM),-138886.4664367831
ANI2x_L_3863_opt.json,2.44956293,ANI2x 0.2 ns (ML/MM),-138886.46522569074
ANI2x_L_0758_opt.json,2.24622685,ANI2x 0.2 ns (ML/MM),-138886.4630043089
GAFF_0814_opt.json,2.59331264,GAFF 10 ns classic,-138886.46245210097
REST600d_0243_opt.json,2.69314052,SAGE 10 ns (16 REST up to 600K),-138886.46204422013
ANI2x_L_1194_opt.json,2.15785553,ANI2x 0.2 ns (ML/MM),-138886.46117825768
MACEsmall_1306_opt.json,2.35970806,MACEsmall 0.1 ns (ML/MM),-138886.45564362832
ANI2x_L_1306_opt.json,2.24877386,ANI2x 0.2 ns (ML/MM),-138886.4548466919
MACEsmall_0643_opt.json,2.37477237,MACEsmall 0.1 ns (ML/MM),-138886.45404348036
ANI2x_L_3742_opt.json,2.3798969,ANI2x 0.2 ns (ML/MM),-138886.45393052875
MACEsmall_1947_opt.json,2.23163296,MACEsmall 0.1 ns (ML/MM),-138886.4538301273
SAGE_0083_opt.json,2.57938948,SAGE 10 ns classic,-138886.4536983504
ANI2x_L_1634_opt.json,2.20374555,ANI2x 0.2 ns (ML/MM),-138886.45341597137
MACEsmall_1696_opt.json,2.28484979,MACEsmall 0.1 ns (ML/MM),-138886.45298299016
MACEsmall_0856_opt.json,2.38651702,MACEsmall 0.1 ns (ML/MM),-138886.44956934117
REST600d_0221_opt.json,2.53285215,SAGE 10 ns (16 REST up to 600K),-138886.44892928202
MACEsmall_1339_opt.json,2.32536919,MACEsmall 0.1 ns (ML/MM),-138886.4469338034
MACEsmall_1725_opt.json,2.37617605,MACEsmall 0.1 ns (ML/MM),-138886.44669534997
ANI2x_L_3853_opt.json,2.42195397,ANI2x 0.2 ns (ML/MM),-138886.4458105623
ANI2x_L_1163_opt.json,2.19115255,ANI2x 0.2 ns (ML/MM),-138886.445791737
MACEsmall_1475_opt.json,2.27012391,MACEsmall 0.1 ns (ML/MM),-138886.44552818322
MACEsmall_1340_opt.json,2.3425494,MACEsmall 0.1 ns (ML/MM),-138886.44490067422
MACEsmall_1170_opt.json,2.34981989,MACEsmall 0.1 ns (ML/MM),-138886.4447312468
MACEsmall_1466_opt.json,2.29887516,MACEsmall 0.1 ns (ML/MM),-138886.44424806486
MACEsmall_1844_opt.json,2.21608144,MACEsmall 0.1 ns (ML/MM),-138886.44400961147
MACEsmall_0356_opt.json,2.40995447,MACEsmall 0.1 ns (ML/MM),-138886.44359545552
MACEsmall_0467_opt.json,2.42829759,MACEsmall 0.1 ns (ML/MM),-138886.44311854866
MACEsmall_0413_opt.json,2.39621092,MACEsmall 0.1 ns (ML/MM),-138886.44240946352
MACEsmall_1228_opt.json,2.37341819,MACEsmall 0.1 ns (ML/MM),-138886.4417756794
MACEsmall_1887_opt.json,2.19891934,MACEsmall 0.1 ns (ML/MM),-138886.44113562023
MACEsmall_1748_opt.json,2.17358724,MACEsmall 0.1 ns (ML/MM),-138886.4408908917
ANI2x_L_3725_opt.json,2.3845968,ANI2x 0.2 ns (ML/MM),-138886.4404767358
ANI2x_L_1698_opt.json,2.11915687,ANI2x 0.2 ns (ML/MM),-138886.44031358344
MACEsmall_0908_opt.json,2.37085589,MACEsmall 0.1 ns (ML/MM),-138886.43942252066
MACEsmall_0494_opt.json,2.43535378,MACEsmall 0.1 ns (ML/MM),-138886.4394036954
ANI2x_L_1245_opt.json,2.17124913,ANI2x 0.2 ns (ML/MM),-138886.43899581453
MACEsmall_1304_opt.json,2.33823086,MACEsmall 0.1 ns (ML/MM),-138886.43755881893
REMD_0147_opt.json,2.57468539,SAGE 10 ns (16 REMD up to 475K),-138886.43703798647
MACEsmall_0645_opt.json,2.36904026,MACEsmall 0.1 ns (ML/MM),-138886.4370254363
MACEsmall_0204_opt.json,2.45644245,MACEsmall 0.1 ns (ML/MM),-138886.43676815758
MACEsmall_0636_opt.json,2.34483254,MACEsmall 0.1 ns (ML/MM),-138886.43649832872
MACEsmall_1287_opt.json,2.41724101,MACEsmall 0.1 ns (ML/MM),-138886.4363289013
MACEsmall_1184_opt.json,2.38694461,MACEsmall 0.1 ns (ML/MM),-138886.43627870057
MACEsmall_0926_opt.json,2.35624087,MACEsmall 0.1 ns (ML/MM),-138886.43517428474
MACEsmall_1084_opt.json,2.39406533,MACEsmall 0.1 ns (ML/MM),-138886.43454050063
REMD_0125_opt.json,2.53545912,SAGE 10 ns (16 REMD up to 475K),-138886.4336933635
MACEsmall_1527_opt.json,2.28226937,MACEsmall 0.1 ns (ML/MM),-138886.43233794405
MACEsmall_1957_opt.json,2.22209315,MACEsmall 0.1 ns (ML/MM),-138886.42859171532
MACEsmall_0803_opt.json,2.36367144,MACEsmall 0.1 ns (ML/MM),-138886.4281712843
MACEsmall_0671_opt.json,2.31528896,MACEsmall 0.1 ns (ML/MM),-138886.4275437753
MACEsmall_1724_opt.json,2.36904864,MACEsmall 0.1 ns (ML/MM),-138886.42721119552
MACEsmall_1759_opt.json,2.12997648,MACEsmall 0.1 ns (ML/MM),-138886.42510904037
MACEsmall_1325_opt.json,2.3188357,MACEsmall 0.1 ns (ML/MM),-138886.4249584382
REST600d_0199_opt.json,2.61540326,SAGE 10 ns (16 REST up to 600K),-138886.4242242527
ANI2x_L_2765_opt.json,2.34930939,ANI2x 0.2 ns (ML/MM),-138886.42354654297
ANI2x_L_1311_opt.json,2.22325398,ANI2x 0.2 ns (ML/MM),-138886.42180834303
ANI2x_L_1179_opt.json,2.19679584,ANI2x 0.2 ns (ML/MM),-138886.4209549308
MACEsmall_0886_opt.json,2.41131925,MACEsmall 0.1 ns (ML/MM),-138886.42020819508
MACEsmall_1641_opt.json,2.31586126,MACEsmall 0.1 ns (ML/MM),-138886.42008896839
MACEsmall_1426_opt.json,2.41032809,MACEsmall 0.1 ns (ML/MM),-138886.41920418068
ANI2x_L_1320_opt.json,2.21035966,ANI2x 0.2 ns (ML/MM),-138886.41720242696
REST600d_0119_opt.json,2.58940216,SAGE 10 ns (16 REST up to 600K),-138886.41716477645
MACEsmall_1187_opt.json,2.37775939,MACEsmall 0.1 ns (ML/MM),-138886.41665021906
MACEsmall_0666_opt.json,2.31179791,MACEsmall 0.1 ns (ML/MM),-138886.41419038377
MACEsmall_1321_opt.json,2.2913843,MACEsmall 0.1 ns (ML/MM),-138886.4141715585
ANI2x_L_3855_opt.json,2.41969728,ANI2x 0.2 ns (ML/MM),-138886.41407743216
MACEsmall_0876_opt.json,2.41911345,MACEsmall 0.1 ns (ML/MM),-138886.4133620719
MACEsmall_0883_opt.json,2.38759332,MACEsmall 0.1 ns (ML/MM),-138886.41269063725
MACEsmall_1041_opt.json,2.41915521,MACEsmall 0.1 ns (ML/MM),-138886.41264671163
MACEsmall_1015_opt.json,2.36981258,MACEsmall 0.1 ns (ML/MM),-138886.40872478037
MACEsmall_0263_opt.json,2.37750476,MACEsmall 0.1 ns (ML/MM),-138886.4074132866
MACEsmall_1305_opt.json,2.35157278,MACEsmall 0.1 ns (ML/MM),-138886.4062774953
ANI2x_L_0745_opt.json,2.21797088,ANI2x 0.2 ns (ML/MM),-138886.40487187513
MACEsmall_0734_opt.json,2.42905239,MACEsmall 0.1 ns (ML/MM),-138886.40484677476
MACEsmall_0963_opt.json,2.34323197,MACEsmall 0.1 ns (ML/MM),-138886.40322152645
MACEsmall_1348_opt.json,2.33192663,MACEsmall 0.1 ns (ML/MM),-138886.40303954884
MACEsmall_0978_opt.json,2.38957599,MACEsmall 0.1 ns (ML/MM),-138886.40291404704
MACEsmall_1871_opt.json,2.21101618,MACEsmall 0.1 ns (ML/MM),-138886.40246851565
MACEsmall_0267_opt.json,2.39254627,MACEsmall 0.1 ns (ML/MM),-138886.39963845006
SAGE_0965_opt.json,2.6606864,SAGE 10 ns classic,-138886.39847128332
MACEsmall_1692_opt.json,2.33134079,MACEsmall 0.1 ns (ML/MM),-138886.39614950004
MACEsmall_0921_opt.json,2.34072993,MACEsmall 0.1 ns (ML/MM),-138886.3948568315
MACEsmall_0986_opt.json,2.36292881,MACEsmall 0.1 ns (ML/MM),-138886.39481918095
MACEsmall_0265_opt.json,2.39106687,MACEsmall 0.1 ns (ML/MM),-138886.39467485386
MACEsmall_0421_opt.json,2.3757415,MACEsmall 0.1 ns (ML/MM),-138886.39310608138
MACEsmall_1124_opt.json,2.35071693,MACEsmall 0.1 ns (ML/MM),-138886.39213344242
