#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
183000,-724151.7964515025,140555.8125,-583595.9839515025,301.6779881741157,547.872596473173,1.0181058006647796,133
184000,-724407.5420972351,138854.234375,-585553.3077222351,298.02585414749126,554.7987651475736,1.005395656110088,133
185000,-724612.8501553945,140717.65625,-583895.1939053945,302.0253569241526,550.4443240098908,1.0133491148227165,133
186000,-725184.0121144541,140217.84375,-584966.1683644541,300.9525985174928,547.8374247416764,1.0181711641142974,133
187000,-728206.249518998,139368.0625,-588838.187018998,299.1286945940027,539.6872570769428,1.0335472279181261,133
188000,-728766.4921411537,140299.09375,-588467.3983911537,301.12698715431384,538.1183313728851,1.036560614970192,133
189000,-727421.3926108815,140620.09375,-586801.2988608815,301.8159564148621,543.3132234246856,1.0266495355637757,133
190000,-725131.160728571,140057.75,-585073.410728571,300.60898583040273,548.4506015905571,1.0170328319031152,133
191000,-728139.8508991739,140802.78125,-587337.0696491739,302.2080625574989,537.2441298378673,1.0382473023259375,133
192000,-727968.1403087331,140071.84375,-587896.2965587331,300.639235551636,540.3689386338639,1.0322433963447202,133
193000,-728374.5909813419,139583.546875,-588791.0441063419,299.5911933806179,541.7518333013084,1.0296084557675724,133
194000,-727201.4190275054,140982.84375,-586218.5752775054,302.5945346057154,545.0129414859589,1.023447749651247,133
195000,-724269.4744379381,140624.5625,-583644.9119379381,301.8255477898873,553.5109203816664,1.0077348936674868,133
196000,-728804.8980006455,140954.609375,-587850.2886256455,302.53393455442006,536.761107100634,1.0391816044712685,133
197000,-728880.9423085889,139158.515625,-589722.4266835889,298.6789395923861,539.1829422426572,1.0345139372817531,133
198000,-728486.2515315162,140742.8125,-587743.4390315162,302.0793503290145,537.560729036344,1.0376358211555656,133
199000,-726912.9633824723,139190.34375,-587722.6196324723,298.747252987233,546.3595071316337,1.0209253453335136,133
200000,-728883.9264018703,141006.796875,-587877.1295268703,302.6459457173013,540.1373046969474,1.0326860663837496,133
201000,-727696.6159393415,141294.9375,-586401.6784393415,303.264388188766,541.2968792434922,1.030473830320568,133
202000,-727283.5040097088,139726.125,-587557.3790097088,299.8972119019625,541.8581761116299,1.0294063891354828,133
203000,-724203.8243669998,140210.15625,-583993.6681169998,300.93609866954745,550.7972954405951,1.0126997229505654,133
204000,-724620.3021921292,140323.59375,-584296.7084421292,301.17957203557063,552.8180622986274,1.0089979082363936,133
205000,-727528.7994792257,140580.4375,-586948.3619792257,301.730841345583,545.6113226098555,1.022325317272541,133
206000,-724942.4290502546,140482.546875,-584459.8821752546,301.5207365744899,548.4627698255156,1.0170102679386313,133
207000,-724951.6942980494,140692.546875,-584259.1474230494,301.97146412811964,546.8818756526551,1.0199501817991967,133
208000,-724627.500474005,140577.9375,-584049.562974005,301.7254755413731,545.1630724496848,1.023165905181687,133
209000,-727503.5887347292,140372.3125,-587131.2762347292,301.2841381451106,539.9628156551942,1.0330197789967868,133
210000,-724730.5616062339,140506.25,-584224.3116062339,301.5716111056548,547.2268010164145,1.0193072917089818,133
211000,-727793.5641724383,139786.1875,-588007.3766724383,300.0261253481048,542.9707209733799,1.0272971395117971,133
212000,-728605.4528926276,139981.1875,-588624.2653926276,300.44465807647526,537.0076836780901,1.0387044458547836,133
213000,-726751.4896959141,140243.71875,-586507.7709459141,301.0081345910651,545.8163034482816,1.0219413838880769,133
214000,-727962.5811750218,140990.4375,-586972.1436750218,302.6108332360029,536.8588924837271,1.0389923242475094,133
215000,-727728.8596053505,140247.46875,-587481.3908553505,301.0161832973798,545.3269913684168,1.0228583534714004,133
216000,-727033.9747093925,140108.234375,-586925.7403343925,300.71734153916594,546.9751167523361,1.019776314152099,133
217000,-725945.9845589772,138864.84375,-587081.1408089772,298.04862527910694,549.7117523493819,1.0146995513752337,133
218000,-726910.7306606201,141153.875,-585756.8556606201,302.9616226862237,545.5820245294699,1.0223802167523244,133
219000,-726408.2570851613,140424.484375,-585983.7727101613,301.3961157717155,549.5408350788343,1.015015141531008,133
220000,-725673.23312419,138921.40625,-586751.82687419,298.1700265993554,545.3978015418478,1.02272555356425,133
221000,-727238.7110198289,139878.0,-587360.7110198289,300.2231845077126,544.7105479531928,1.0240159119197794,133
222000,-728903.6754514044,141632.703125,-587270.9723264044,303.98934187379683,538.645637882851,1.03554587518246,133
223000,-729580.7727912981,139512.25,-590068.5227912981,299.43816735180746,538.2714681690921,1.0362657162415063,133
224000,-726615.429943338,139268.71875,-587346.711193338,298.9154709492127,539.7890368197077,1.0333523477634408,133
225000,-727723.3824319392,140208.375,-587515.0074319392,300.9322755340479,541.6166835242748,1.0298653742810926,133
226000,-726058.8366769608,140753.125,-585305.7116769608,302.1014842713803,548.994620745813,1.0160250163049809,133
227000,-724983.9204110894,139713.90625,-585270.0141610894,299.8709865338867,551.3722708905169,1.0116436715138495,133
228000,-725520.6265181564,140056.328125,-585464.2983931564,300.6059340292584,550.2831492551894,1.0136459189229865,133
229000,-726788.2739615524,140547.828125,-586240.4458365524,301.66085113692037,547.544662701572,1.0187155614712378,133
230000,-727812.4111618632,140382.6875,-587429.7236618632,301.30640623258165,542.3230654650844,1.0285239629560305,133
231000,-727917.2196902828,141183.03125,-586734.1884402828,303.0242013778214,545.7802267951981,1.0220089352997406,133
232000,-726584.4084821129,139573.9375,-587010.4709821129,299.57056857068613,546.6761444031988,1.020334020800465,133
233000,-725891.7417963762,140296.390625,-585595.3511713762,301.1211853785119,547.6358460460112,1.0185459416543505,133
234000,-723929.4261967111,139098.078125,-584831.3480717111,298.54922127561224,549.7553853835913,1.0146190166112015,133
235000,-725751.6378406249,140492.6875,-585258.9503406249,301.54250161781624,547.9905534669333,1.0178866496250094,133
236000,-725942.8482216606,139359.40625,-586583.4419716606,299.110115496926,548.4956678937117,1.0169492689643287,133
237000,-728396.3565606903,140635.046875,-587761.3096856903,301.84805063129244,548.7957479997483,1.016393203714959,133
238000,-725958.3751125522,140059.5,-585898.8751125522,300.61274189334966,548.5128035630313,1.0169174992293755,133
239000,-725510.5448621595,141209.265625,-584301.2792371595,303.08050878574875,551.4881318482591,1.0114311374665934,133
240000,-724467.3581486493,141236.875,-583230.4831486493,303.1397673859916,556.5264384362961,1.002274519179847,133
241000,-723195.7267510686,140653.359375,-582542.3673760686,301.8873551471298,558.6439152706757,0.9984755105125388,133
242000,-727202.6105229761,141949.5625,-585253.0480229761,304.6694240211225,541.4319978559237,1.0302166674734308,133
243000,-727811.7794000041,140765.875,-587045.9044000041,302.12884987285065,540.8383163653979,1.0313475425394216,133
244000,-726451.0468702177,139655.0,-586796.0468702177,299.74455477219146,552.4055602045727,1.0097513650804741,133
245000,-726699.0937746679,141324.625,-585374.4687746679,303.3281071137583,549.7928070530223,1.0145499565272007,133
246000,-725490.5246186387,141113.46875,-584377.0558686387,302.8748978756815,553.4276148170413,1.0078865845518261,133
247000,-728118.8718038397,140180.421875,-587938.4499288397,300.87227913572616,541.8396983624295,1.029441493822609,133
248000,-726651.7522771303,139260.3125,-587391.4397771303,298.89742843255704,544.2982385696995,1.024791610497163,133
249000,-728352.6591424122,139541.9375,-588810.7216424122,299.5018862767997,542.9615422703506,1.0273145058529325,133
250000,-726890.7544602072,139205.09375,-587685.6607102072,298.7789112320713,548.4169088624385,1.0170953146787904,133
251000,-724656.2714385865,138821.6875,-585834.5839385865,297.955998083934,554.248501763942,1.006393822841904,133
252000,-724626.032358407,139515.171875,-585110.860483407,299.4444386354777,549.7736888458062,1.0145852371830295,133
253000,-726544.3044791156,140784.625,-585759.6794791156,302.1690934044247,541.0570779993949,1.03093054536334,133
254000,-730124.4229332479,139894.6875,-590229.7354332479,300.2590012508135,539.3564754102529,1.0341810915875917,133
255000,-726403.9570714142,139577.8125,-586826.1445714142,299.57888556721144,549.9708559643566,1.0142215036404796,133
256000,-726618.2460983964,141373.5,-585244.7460983964,303.4330085860614,544.5403807071478,1.0243359138403187,133
