GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
191,502.02,1332.12,2011.99,-1367.94,-12355.38,616.61,8133.46,-2038.77,60.57,-1127.12,-1978.21,-3105.33
201,532.78,1324.93,1998.96,-1323.1,-12415.28,615.79,8139.3,-2030.33,59.77,-1126.62,-1970.56,-3097.18
211,492.1,1311.77,2026.96,-1337.34,-12459.75,616.73,8144.68,-1980.03,58.65,-1204.86,-1921.38,-3126.24
221,474.15,1274.29,2025.42,-1336.08,-12544.35,635.38,8210.81,-1968.56,59.37,-1260.36,-1909.2,-3169.56
231,505.83,1317.43,2002.8,-1349.13,-12454.5,630.39,8189.04,-1994.71,59.13,-1158.12,-1935.59,-3093.71
241,519.93,1288.39,2001.98,-1358.4,-12484.12,606.19,8166.22,-1954.38,59.3,-1259.81,-1895.08,-3154.89
251,546.92,1334.13,2018.22,-1375.81,-12547.8,604.13,8156.33,-1886.82,57.07,-1263.87,-1829.75,-3093.62
261,557.6,1308.34,1999.21,-1380.05,-12564.79,604.08,8127.71,-1839.77,55.93,-1347.9,-1783.84,-3131.74
271,492.8,1300.79,1992.9,-1365.02,-12530.55,624.55,8148.79,-1893.05,56.29,-1335.76,-1836.76,-3172.52
281,485.57,1284.5,2032.71,-1351.27,-12540.45,626.94,8192.05,-1927.95,56.89,-1269.95,-1871.07,-3141.02
291,507.56,1314.78,2007.77,-1374.91,-12422.33,621.31,8181.6,-2018.17,57.06,-1164.22,-1961.11,-3125.33
301,488.88,1304.14,2022.0,-1340.34,-12687.05,626.05,8188.93,-1777.52,55.79,-1397.39,-1721.73,-3119.12
311,499.06,1312.99,2043.82,-1365.46,-12562.18,611.3,8172.8,-1885.24,56.24,-1287.66,-1829.0,-3116.66
321,482.98,1303.02,2001.61,-1373.46,-12552.45,627.24,8201.23,-1907.47,56.43,-1309.83,-1851.04,-3160.87
331,506.11,1272.99,1998.83,-1355.92,-12509.18,610.69,8157.81,-1927.29,57.38,-1318.66,-1869.9,-3188.56
341,553.03,1307.97,2018.89,-1359.87,-12505.83,618.04,8150.92,-1931.95,58.04,-1216.86,-1873.91,-3090.77
351,490.2,1306.24,2013.49,-1392.61,-12479.54,598.16,8110.8,-1904.72,57.38,-1353.26,-1847.34,-3200.6
361,487.57,1376.79,2039.23,-1363.94,-12501.26,620.13,8146.43,-1936.1,56.76,-1195.05,-1879.34,-3074.39
371,493.97,1264.46,2032.25,-1352.53,-12501.27,616.73,8139.86,-1934.03,56.76,-1306.53,-1877.27,-3183.8
381,516.9,1299.76,2017.28,-1336.62,-12549.7,628.33,8140.36,-1893.71,57.7,-1283.7,-1836.01,-3119.71
391,488.53,1307.3,1997.03,-1353.68,-12542.23,634.79,8150.1,-1929.01,57.24,-1318.17,-1871.78,-3189.95
401,522.36,1280.69,1992.56,-1336.29,-12457.4,619.7,8158.9,-1990.29,59.78,-1219.47,-1930.52,-3149.99
411,470.79,1295.92,1996.03,-1361.67,-12446.82,620.2,8162.55,-1989.44,57.96,-1263.0,-1931.48,-3194.48
421,494.84,1265.72,2014.17,-1352.27,-12552.7,631.6,8219.23,-1936.83,59.98,-1279.42,-1876.85,-3156.27
431,507.54,1326.8,1999.53,-1324.9,-12418.66,608.67,8159.2,-2032.74,60.81,-1141.82,-1971.93,-3113.76
441,507.52,1326.43,2000.47,-1354.15,-12435.42,621.25,8154.36,-2019.41,60.22,-1179.54,-1959.19,-3138.74
451,516.35,1338.31,2007.41,-1328.96,-12391.08,619.39,8146.2,-2021.77,60.54,-1092.38,-1961.23,-3053.61
461,509.68,1266.43,2016.72,-1366.29,-12435.18,625.8,8137.63,-1955.05,58.27,-1245.22,-1896.79,-3142.0
471,525.21,1314.33,2021.96,-1376.19,-12422.75,623.41,8142.66,-1973.95,57.68,-1171.36,-1916.27,-3087.63
481,470.52,1334.94,2016.06,-1368.17,-12410.81,622.75,8146.73,-1984.47,58.05,-1187.97,-1926.42,-3114.39
491,523.67,1288.0,2011.7,-1368.75,-12571.51,626.22,8178.34,-1917.74,55.95,-1312.33,-1861.79,-3174.12
501,531.53,1323.19,2026.7,-1385.34,-12584.94,623.17,8155.74,-1847.57,56.16,-1309.94,-1791.42,-3101.35
511,488.32,1340.48,2027.26,-1349.48,-12477.41,622.46,8132.2,-1951.44,57.78,-1216.17,-1893.66,-3109.83
521,531.26,1313.62,2011.5,-1376.76,-12435.04,605.36,8156.23,-1980.56,57.77,-1193.83,-1922.79,-3116.62
531,528.41,1344.38,2004.3,-1361.06,-12520.96,612.89,8134.76,-1928.18,55.78,-1257.29,-1872.4,-3129.7
